Symbol,MarketCapitalization
SPLP,829964672
NPWR,829197376
IIIV,823415936
FUFU,822655104
HLF,821454784
GHLD,821224576
EOLS,820647040
ERAS,819908352
PRAA,818497664
CAPL,816862592
MBWM,816780096
SEAT,816437824
GRNT,815842560
ZIP,813856832
AAUCF,812353344
BRSP,811828160
AUTL,811672384
ARKO,810396992
UXIN,810051584
GSM,809784320
ALPC,809222016
VTS,809199168
SITC,808538880
OPFI,808499968
PPTA,807612992
ODP,803854656
MNRO,802943424
DJCO,799598144
UFCS,799289856
CSIQ,798731008
IBCP,795856256
TIPT,795217408
CRSR,794673024
NGVC,792761408
IMNM,792693376
HBNC,791245120
GSL,790316416
CRGX,787533952
TCPC,787438144
KREF,786866112
CDMO,786655872
AXL,784265280
RYI,782801728
TTGT,782328576
PRTA,781840768
DAO,781652608
TH,781635520
WDI,780448128
HAYN,779757184
CRON,779161344
LQDT,774607040
GOOD,773607872
SHLS,773483392
ETD,772309120
SNCY,771862272
AC,771543872
HAFC,769404288
PUBM,769043904
AVXL,768246016
TYRA,767647488
GCI,766537216
ORRF,764777728
RAPP,762254272
BVS,760881216
TRDA,760374400
SHEN,759515456
OLMA,758732928
OXLCL,758222000
CCO,758070912
CVLG,757569152
GSBC,756293504
PRTH,755767488
UAN,755726400
ABDDF,754937728
HBT,754269632
PGY,753496768
GRAL,752993920
MRNO,752807488
ECO,751802432
SCWX,751121280
GOTU,750337280
DMRC,748882304
WSR,746865408
HAIN,746807424
HIPO,745894016
ABL,744567488
SCHL,744234240
SWIM,742312512
LDI,742292224
MAX,742105664
HUYA,740762688
GOLLQ,739310016
SMBC,738769408
XPOF,736620736
AGGZF,735890560
USNA,735888960
SMP,734414080
MCB,734002688
INN,733987328
KOP,733734208
RPAY,731592960
LIND,730897280
NTGR,729602176
SEDG,729591744
CEVA,729358208
IMOS,727914496
NXP,727914304
PAXS,727748992
HZO,726416256
CGEM,724351296
BALY,723868992
INDI,723123648
CCAP,721216768
CURIW,721208800
FDUS,721026560
ANAB,719943040
REX,719728192
TRTX,719447232
BBAI,716675904
RLAY,716399296
OFIX,715751552
NRXPW,714611100
MCS,713696960
RERE,709446400
MEGI,708886976
SSYS,706711936
FSBC,705875392
EVLV,705824000
BFLY,705235200
NVTS,704220928
BH,703337728
VHI,702276928
OSPN,702075520
TXO,700435712
DNTH,700265024
AAVXF,699870528
BH-A,699572480
MTUS,698606336
MOFG,698244416
AMRK,698073280
ADSE,695193280
AEMFF,694906624
MATV,690608256
IRMD,690446848
DAKT,690396352
NR,690248128
TRST,689887424
ACIC,689813440
ABUS,687856000
BTBT,686185152
CRML,686145536
RBBN,685751424
YALA,683136704
AACT,683124992
VEL,682496064
AMSSY,682427200
CAC,682212928
RSKD,682119232
CVAC,681987520
