Symbol,MarketCapitalization
CBZ,4187179520
AMBBY,4181585920
APNHY,4175790080
IMVT,4168693760
UA,4165264640
ALIT,4152794880
BCO,4151294464
NOG,4143744000
ACEJF,4134058752
GBDC,4130658560
HGV,4130611712
FUL,4130354944
RELY,4119668480
UAA,4119371008
TCBI,4112844544
SR-PA,4106690048
DTW,4104534528
IAC,4102071808
BLKB,4097990400
NPO,4096857344
RIOT,4094256384
GHC,4093682432
KFY,4090633728
SR,4086906624
CLVT,4084819712
ACJJF,4084151808
AB,4083670016
CLSK,4075388416
GEO,4073189632
CNO,4059210240
OSCR,4055211264
CVCO,4037526784
MDU,4030873856
CARG,4021801984
IGT,4016974080
OGN,4007307008
SKT,4005979392
UCB,4000886016
AMRX,3986723328
ALKT,3984706304
DXC,3984338176
REZI,3968243968
BHFAP,3965863936
ACLLF,3962381312
GFF,3959648768
ZK,3956408064
JWN,3955942144
ACLTF,3955630592
JBT,3948168960
MWA,3946925568
ALBKY,3946337792
VRRM,3938815488
BL,3930962688
ASGN,3930705920
TDS,3923908096
AKAAF,3923807744
SRRK,3918723840
NNI,3913671424
SMPL,3910662400
REXR-PB,3904752896
GDS,3903681280
HGTY,3901794816
ENIC,3889088512
TPH,3885860864
PRMW,3883186944
PRGO,3878648064
AGOAF,3869689856
ABGOF,3869689856
OPCH,3866512128
TGLS,3862073856
CCOI,3859192832
AEMMF,3857859840
ACHC,3854744064
FULT,3851648768
PAYO,3847854080
ALGM,3832386816
APLE,3831602176
SIG,3829689600
TEO,3827776768
TXNM,3825655040
LIF,3822929920
AIAGF,3818416128
TAC,3817815040
NMRK,3815139328
ICUI,3810981120
DEI,3809688576
TFSL,3809241088
SF-PB,3803329536
ENS,3801236224
ABOIF,3800045312
GMS,3799931392
TNL,3788214016
SPR,3787949056
AUB,3775160832
CSAN,3774019072
YOU,3770904832
PBI-PB,3753491712
ALE,3744358656
ALORY,3739066368
PTCT,3732855040
TWO-PC,3732828672
RIG,3730924032
CPA,3727980544
ESE,3727035904
HASI,3718735360
EQC-PD,3717520128
RYTM,3710164736
CDP,3703778560
ADVWW,3694020000
AGYS,3687789056
AIAGY,3684823808
BBAR,3681410048
WU,3678652928
ACVA,3678021632
SHC,3675026176
CEIX,3666963968
PII,3655187456
SLVM,3655069696
MGEE,3654060800
OR,3651996672
UNF,3650370560
DOCN,3648842496
KGS,3647734784
CBU,3644003328
WD,3641727744
PTON,3639121152
NYCB-PA,3638199040
AEBZY,3634524160
AANNF,3632779008
SAM,3630230272
AQN,3629007360
AXNX,3627731200
CATY,3626856704
YETI,3622046720
ATAT,3617372928
HL,3611875072
PBF,3603353600
ASH,3601505792
FRO,3599804672
RNG,3598233088
EBC,3596311040
BRC,3590291968
FIBK,3583288320
AESI,3569440000
HBM,3569042432
CAR,3565571840
POWI,3563704320
SLAB,3561816832
ABM,3560266752
ATMU,3550696192
TEX,3550420224
COMP,3547991040
FHI,3543351296
NVST,3540023552
WBS-PF,3539226624
DOOO,3535623424
ASAN,3527415552
KNTK,3511760128
FHB,3498961152
AVPT,3497080320
CXT,3494731520
ENV,3494540032
ARLP,3492250880
IRDM,3488288256
HCC,3486038272
JANX,3479556864
CWK,3479023104
ABTZY,3476678656
HUN,3473679360
INST,3471300352
CIM-PB,3466628096
ASO,3466213888
ALVO,3460278272
CIM-PD,3458673920
FROG,3458452992
PYCR,3449453056
DV,3447192064
PCH,3445881344
SGHC,3444830976
TBBB,3442326784
ATGE,3437531648
HP,3435700480
CAMT,3434479872
NHI,3433910784
POWL,3428128256
VCYT,3416956672
STR,3414592000
FA,3413330176
EE,3411716352
AEDFF,3411145728
HIW,3410665472
EPR,3407160576
HAYW,3401560576
VAC,3397907200
GEF-B,3389556480
APAM,3386439936
ATHM,3386263552
LOT,3383680000
AEO,3382916352
GEF,3381431808
BNL,3379783168
VSCO,3378167296
MLTX,3373918720
FBP,3367542528
VLYPO,3365606144
AGIO,3363070976
TFPM,3361916672
ALRM,3358707200
ATCOL,3356635000
DNLI,3356261120
PEB-PF,3344855808
GRP-UN,3333381632
UGP,3325262336
SNEX,3318124032
SXT,3315998464
EGO,3315443968
TCBIO,3313076000
NWE,3312191488
PEB-PE,3303562240
IFS,3296814592
ACHR,3295224576
CRGY,3291999488
AKR,3291734016
LMND,3285320704
JJSF,3284447744
OTTR,3284334336
CIM-PC,3276479744
VRNA,3274884608
SYNA,3269966336
MP,3265772288
IPGP,3259178240
ACEYY,3256313088
TWO-PB,3249825280
PK,3248814592
AFFS,3242296320
IAG,3236201984
PENN,3235734784
BXMT,3227974656
GNW,3224091648
BTSG,3223072256
BWIN,3218424576
LPL,3215137280
OMAB,3214087424
SHOO,3210333952
CVBF,3209800448
DLO,3209655808
CIM-PA,3208026368
SSL,3194407424
GPOR,3193485824
VAL,3191082496
RSI,3189084416
IBRX,3184517632
VRN,3182341632
CAAP,3181527552
ANSLY,3179712512
PLTK,3179241728
ANSLF,3179051264
FORM,3178572800
AMDLY,3178362880
BSM,3177280768
ATS,3173441280
MEOH,3173277696
PTEN,3170342400
GEFB,3158698000
CC,3152572416
ATKR,3147552512
SWTX,3147290368
ESRT,3146834432
FIVN,3141454848
TWO-PA,3141043200
ANGGF,3140054016
OUT,3138795264
BVN,3128305920
AWR,3127315456
NMIH,3119383296
TWST,3112056832
HUBG,3104333824
BKU,3103579392
VLYPP,3103000064
AMDWF,3102461696
TDC,3093981184
BFH,3080347648
UE,3076573440
HTGC,3071929600
TRN,3068787968
WRB-PE,3062092800
NSP,3059067392
AMR,3054855168
PATK,3051972864
FLNC,3050060800
VERA,3046474496
IIPR,3044251904
ABDBY,3044228864
BOH,3042724864
BHF,3040127232
SFNC,3040122112
INDB,3035260672
HBI,3034990336
IREN,3033844736
GRBK,3024097536
NARI,3018539008
OSIS,3017297408
TGNA,3012981504
LBRT,3008488448
NFE,3006971392
MRUS,3002817792
DYN,2996003072
BHC,2991099392
EWTX,2989315840
LCII,2988012544
MGRC,2986653440
AMMHF,2981807872
ARCH,2977827584
IOSP,2967296768
PRKS,2965383168
HTLF,2961669376
AVA,2959061248
HCM,2957068544
PCTTW,2950161000
FOLD,2946222080
PRGS,2945428224
MAN,2945258496
AFSIM,2941790720
CPK,2941147136
PLMR,2937976064
BUR,2935852800
AMBA,2933788672
CON,2926853376
SBSW,2920944128
CWT,2920733696
RLJ-PA,2917347584
APPN,2914853888
DFH,2914587904
WAFD,2914046464
ESGRO,2899419136
ESGRP,2893182720
CORZ,2886933248
ALRHF,2882671360
NVCR,2878146560
ARWR,2875674112
MANU,2868239360
OII,2866061568
CNXC,2865634560
ACAD,2856942080
JOE,2855053824
KYMR,2854854656
BANC,2854364160
NOMD,2851427072
MFA-PB,2850594048
GT,2846350848
RLX,2843129856
BTDR,2839174912
FCPT,2834752768
STNE,2828268032
ASB-PE,2828132096
PAR,2820906240
AFSIC,2817239040
LAUR,2813288704
TOWN,2810707456
AZZ,2806645504
KWR,2805143296
BTU,2804211200
WRBY,2799038720
PSMT,2796170496
ENR,2790449408
VCEL,2789736704
HWKN,2784886784
AMED,2776638208
ENVA,2774439936
IBTX,2770003200
LFST,2762660608
FFBC,2761547776
DRVN,2757115136
OKLO,2746863616
RPD,2745062656
LIVN,2742190336
UZE,2739566000
UZF,2739566000
UZD,2739566000
DIOD,2731787776
SGRY,2727866368
TBBK,2726377984
MLCO,2723911168
LXP,2722988800
CCS,2720373504
AFSIB,2718388736
USAC,2716103680
CDE,2714838784
HNI,2709532672
ACOPF,2700451840
KLC,2697882624
PFS,2690662656
MYRG,2685263616
MAPSW,2684992000
APGE,2683540736
NEOG,2680554240
ENOV,2675319040
SPB,2672466432
GRND,2668607232
BKE,2668163072
ACOPY,2666873600
KLIC,2665011200
AFSIA,2659078400
PPBI,2653080832
FLYW,2652570368
FBK,2644807936
ABR,2640525824
SEM,2637906944
HOVNP,2633430528
AAP,2628915456
PTVE,2626613248
VICR,2617747200
KROS,2617183232
TDW,2610917888
VSTO,2607619328
ANIOY,2598940160
ACRXF,2598939648
SPNT,2597965312
VC,2597833728
LSPD,2596381184
CPRI,2591310080
ARDT,2591148544
CPRX,2588224256
SDRL,2585565440
IOVA,2581495040
PSNY,2574627072
CAKE,2573932032
EPAC,2572598784
VSH,2567337984
BANR,2564439552
RXRX,2563114752
RVLV,2559396352
MTX,2557792512
QS,2557230336
AY,2551092992
IRTC,2547970304
SBCF,2546996224
PRVA,2546421248
BATRK,2546171392
BATRA,2546170880
TY-P,2543368192
ODD,2541308928
FRME,2540458496
ACKAY,2534182400
ICFI,2532971776
QDEL,2528851968
TTMI,2528831232
MPW,2521678080
YELP,2516868864
AIN,2516519936
WLYB,2513597696
WLY,2513597440
ARCB,2511011072
STNG,2503513600
AKO-A,2502196480
AKO-B,2502193664
SID,2493049088
SWI,2490351360
LGIH,2485612032
PTGX,2484044544
ZIM,2482421248
SXI,2480614656
NATL,2467481344
SMR,2461711872
AIR,2457881856
MGNI,2457854208
STRA,2455717888
MCW,2452322304
AOZOY,2429974528
SHO,2424875008
GERN,2418005248
DBRG,2414903040
CXW,2412715776
AVAL,2408638464
BMCLF,2403653376
TFIN,2399791360
CIFR,2396383488
B,2391633152
ACLS,2389523456
VSEC,2386134272
RNST,2384985600
SITC-PA,2382148864
EXTR,2379745536
IVT,2371759872
NXRT,2368074240
ALG,2360523264
TRTN-PA,2360516864
NBTB,2359348480
NSA-PA,2359041792
ACKAF,2354915328
CENT,2354898688
CENTA,2354897408
TR,2348300288
LBPH,2341960960
CABO,2339703808
ALHC,2338691072
SAH,2334499840
LGND,2333771008
PAGS,2333672192
UPWK,2332487424
PWP,2330569728
TRMK,2326450432
RUN,2324152064
WAFDP,2322011000
WB,2320780800
TRMD,2318582272
AVDX,2314417408
HI,2314404864
SYBT,2312432128
NEO,2311780096
GCMG,2311705600
MTRN,2311279616
CRTO,2306064128
CNTA,2305968896
VIAV,2304637184
LMAT,2304160512
VZIO,2298431744
MRCY,2288099072
NAMS,2287474944
CNMD,2279746816
IDYA,2279206656
TRUP,2275963136
JBLU,2275511296
CGON,2269652736
FIHL,2261334272
PSNYW,2258077440
UFPT,2256263680
GOEVW,2251514000
AGM-A,2244551680
AGM,2244547840
PHIN,2236655104
CALX,2235510528
WS,2232629504
PLUG,2232432640
EVTC,2231582720
KYN,2230771968
ROIC,2229900800
HUT,2228342784
EFSC,2227296768
RNW,2226554368
TMDX,2223449344
BAK,2223111168
CENX,2219747328
KC,2210153216
EVCM,2207312384
CXM,2205500672
WNS,2203919360
AFLYY,2202106112
HLMN,2201819136
PCT,2196383488
NN,2195859712
AAT,2194556928
VEON,2190236672
AAALY,2186882816
EQC,2186613504
CDLR,2185106432
SKWD,2183840512
MIRM,2182766336
CMBT,2181982976
HEES,2180911360
ADUS,2180867840
HURN,2177872896
VTMX,2175936000
KMT,2166998016
KAR,2163590912
LU,2162039552
SRG-PA,2158717184
AKRO,2158189312
VSTS,2143938944
ROCK,2143902208
CCU,2140809600
SLNO,2140779008
IQ,2140049792
AILLM,2138001664
AKRYY,2135990144
LXP-PC,2132663808
OMCL,2132425472
PLUS,2122261504
CEPU,2121868800
APLD,2120909824
MBC,2120078080
BTE,2117912320
FTRE,2114228992
PINC,2111505920
APELY,2107809792
GBX,2107651840
APEMY,2102451712
AFRAF,2101008000
BEAM,2096637824
AMPH,2096348928
SEZL,2092094976
OSW,2090028032
FL,2088638592
AILLN,2085824128
OFG,2082388480
AMBP,2079961216
STC,2075800832
GENI,2075506176
STGW,2074000256
SEMR,2065564160
APMSF,2065332480
AFXXF,2059362816
LOB,2059280896
HTH,2055388928
WOR,2055143680
EXPI,2051441408
SUPN,2051395200
AZTA,2051244032
VYX,2049390720
DKL,2048374656
CASH,2046780160
COCO,2044617728
TRIP,2028725120
LION,2017880064
RAMP,2017319552
CRI,2013127424
IVR-PB,2012424576
PDCO,2012350336
ALTB,2012121856
AGX,2011183360
BLTE,2007617664
TSLX,2006328448
